pid, tgid, active partition, task partition, time, 10240:cf2cf7b8
385,385,0,0,4294912909,
3,3,0,0,4294912910,
384,384,0,0,4294912910,
3,3,0,0,4294912911,
385,385,0,0,4294912911,
3,3,0,0,4294912912,
384,384,0,0,4294912912,
3,3,0,0,4294912913,
385,385,0,0,4294912913,
3,3,0,0,4294912914,
384,384,0,0,4294912914,
3,3,0,0,4294912915,
385,385,0,0,4294912915,
3,3,0,0,4294912916,
384,384,0,0,4294912916,
3,3,0,0,4294912917,
385,385,0,0,4294912917,
3,3,0,0,4294912918,
384,384,0,0,4294912918,
3,3,0,0,4294912919,
385,385,0,0,4294912919,
3,3,0,0,4294912920,
384,384,0,0,4294912920,
3,3,0,0,4294912921,
385,385,0,0,4294912921,
3,3,0,0,4294912922,
384,384,0,0,4294912922,
3,3,0,0,4294912923,
385,385,0,0,4294912923,
3,3,0,0,4294912924,
384,384,0,0,4294912924,
3,3,0,0,4294912925,
385,385,0,0,4294912925,
3,3,0,0,4294912926,
384,384,0,0,4294912926,
3,3,0,0,4294912927,
385,385,0,0,4294912927,
3,3,0,0,4294912928,
384,384,0,0,4294912928,
3,3,0,0,4294912929,
385,385,0,0,4294912929,
3,3,0,0,4294912930,
384,384,0,0,4294912930,
3,3,0,0,4294912931,
385,385,0,0,4294912931,
3,3,0,0,4294912932,
384,384,0,0,4294912932,
3,3,0,0,4294912933,
385,385,0,0,4294912933,
3,3,0,0,4294912934,
384,384,0,0,4294912934,
3,3,0,0,4294912935,
385,385,0,0,4294912935,
3,3,0,0,4294912936,
384,384,0,0,4294912936,
3,3,0,0,4294912937,
385,385,0,0,4294912937,
3,3,0,0,4294912938,
384,384,0,0,4294912938,
3,3,0,0,4294912939,
385,385,0,0,4294912939,
3,3,0,0,4294912940,
384,384,0,0,4294912940,
3,3,0,0,4294912941,
385,385,0,0,4294912941,
3,3,0,0,4294912942,
384,384,0,0,4294912942,
3,3,0,0,4294912943,
385,385,0,0,4294912943,
3,3,0,0,4294912944,
384,384,0,0,4294912944,
3,3,0,0,4294912945,
385,385,0,0,4294912945,
3,3,0,0,4294912946,
384,384,0,0,4294912946,
3,3,0,0,4294912947,
385,385,0,0,4294912947,
3,3,0,0,4294912948,
384,384,0,0,4294912948,
3,3,0,0,4294912949,
385,385,0,0,4294912949,
3,3,0,0,4294912950,
384,384,0,0,4294912950,
3,3,0,0,4294912951,
385,385,0,0,4294912951,
